,id,width,npaths,length,fatness,centroid_x,centroid_y,centroid_y_pix,centroid_x_pix,img_x,img_y,N,label
0,0,6.0,3,32.84180879492855,8.830207916099369,12.974695966748769,6.166102216748769,15.03448275862069,174.66551724137932,12,5,0,0_12_5
0,0,6.0,1,12.071067811865476,3.3965512114593794,0.7327961672473868,31.10150805749129,26.609756097560975,131.3170731707317,0,30,1,0_0_30
1,1,5.656854249492381,1,20.899494936611667,2.966578866525076,0.6107790898617511,31.040016561059907,37.62903225806452,109.45161290322581,0,30,2,1_0_30
0,0,2.8284271247461903,1,13.485281374238571,2.8920419913894517,21.373740842490843,10.176138965201465,192.43589743589743,66.97435897435898,21,10,3,0_21_10
0,0,7.211102550927978,1,41.870057685088796,4.633382677881748,35.92245604749632,11.041685843151694,37.329896907216494,165.3041237113402,35,10,4,0_35_10
0,0,6.0,1,69.59797974644665,4.281733479702254,7.8987183904602105,3.484142797219559,137.24161073825502,161.0503355704698,7,3,5,0_7_3
0,0,7.211102550927978,1,60.69848480983498,4.728289361738686,15.32123024514684,13.512440113240418,132.17073170731706,57.56445993031359,15,13,6,0_15_13
0,0,6.0,1,83.87005768508878,2.813876686315411,10.790684586864407,20.95348441283293,53.13559322033898,141.6906779661017,10,20,7,0_10_20
1,1,5.656854249492381,1,31.485281374238575,2.8267176317128384,10.11129363964687,20.802003912520064,80.28089887640449,19.9438202247191,10,20,8,1_10_20
0,0,14.422205101855956,3,2.414213562373095,141.66103833159852,31.237573099415204,21.15580291875522,16.880116959064328,42.57309941520468,31,20,9,0_31_20
1,1,16.0,3,6.548588308184044,51.15606360249224,31.773587420042645,20.722131529850746,94.59402985074627,138.62686567164178,31,20,10,1_31_20
0,0,4.0,1,18.07106781186548,2.822190726688179,1.1415660014005602,29.067073704481793,211.98039215686273,204.5686274509804,0,29,11,0_0_29
0,0,21.2602916254693,1,17.72792206135786,31.306545577033642,25.20788087194337,21.147371702059203,18.39099099099099,37.252252252252255,25,20,12,0_25_20
0,0,8.94427190999916,4,24.958620964809068,13.582481198700048,41.09633441319006,20.073980062157606,31.542772861356934,196.46312684365782,40,19,13,0_40_19
1,1,5.656854249492381,1,2.0,12.0,41.034691220238095,19.939127604166668,55.708333333333336,185.41666666666666,40,19,14,1_40_19
2,2,4.47213595499958,3,5.299831645537221,7.35872431586395,40.816878434065934,19.782823946886445,83.71794871794872,146.3846153846154,40,19,15,2_40_19
3,3,6.0,1,6.82842712474619,5.85786437626905,40.835658482142854,19.673688616071427,103.275,149.75,40,19,16,3_40_19
4,4,8.94427190999916,3,11.94231385831688,13.397738654186568,40.488037109375,19.572928292410715,121.33125,87.45625,40,19,17,4_40_19
5,5,8.0,1,6.242640687119286,10.412260333053823,40.200807005494504,19.381610576923077,155.6153846153846,35.98461538461538,40,19,18,5_40_19
6,6,4.47213595499958,1,4.82842712474619,6.213203435596426,40.52250744047619,19.381324404761905,155.66666666666666,93.63333333333334,40,19,19,6_40_19
7,7,4.0,1,6.65685424949238,2.7039798868020273,40.542844742063494,19.33544146825397,163.88888888888889,97.27777777777777,40,19,20,7_40_19
0,0,18.0,13,35.44196726926817,42.520213072560566,14.954892791970803,3.098997090956489,27.059721300597214,171.1167883211679,14,2,21,0_14_2
1,1,11.313708498984761,1,71.4264068711928,8.316252014065235,14.428522576960077,3.0670976881914385,32.77609427609428,76.79124579124579,14,2,22,1_14_2
2,2,7.211102550927978,1,10.65685424949238,5.4425066386511505,15.198814655172413,3.0448737684729066,36.758620689655174,214.82758620689654,14,2,23,2_14_2
3,3,10.198039027185569,1,62.970562748477136,8.226065917007025,14.589761876034197,2.931898097076669,57.003861003861005,105.68532818532819,14,2,24,3_14_2
0,0,6.0,1,56.698484809834994,3.2981481009094398,16.00249474789916,3.124307677616501,22.524064171122994,179.64705882352942,15,2,25,0_15_2
0,0,7.211102550927978,1,47.94112549695428,5.381600814031595,35.53781232696567,9.251072812846068,179.0077519379845,96.37596899224806,35,9,26,0_35_9
0,0,6.0,1,23.485281374238575,3.4489686842266387,35.170221560846564,9.29217647707231,171.64197530864197,209.7037037037037,34,9,27,0_34_9
0,0,6.0,1,58.11269837220807,3.303925052150434,7.408586774553571,1.924711681547619,58.291666666666664,73.21875,7,1,28,0_7_1
1,1,18.0,1,67.52691193458116,11.136300749670351,7.644709346504559,1.8983707138107901,63.01196808510638,115.53191489361703,7,1,29,1_7_1
0,0,16.492422502470642,1,27.384776310850242,14.67968901541554,12.74300650764037,14.627887348969438,111.48258706467662,133.14676616915423,12,14,30,0_12_14
0,0,5.656854249492381,1,137.03657992645918,4.268933158678806,38.88354700854701,34.289959172771674,172.03931623931624,158.33162393162394,38,34,31,0_38_34
0,0,6.324555320336759,1,5.656854249492381,9.369164850721754,38.211042789757414,19.7701945754717,85.98113207547169,217.0188679245283,37,19,32,0_37_19
0,0,11.661903789690601,1,61.87005768508878,8.727969880819177,27.995649388227513,5.498914930555555,134.59444444444443,178.42037037037036,27,5,33,0_27_5
0,0,8.48528137423857,1,14.828427124746192,6.271737333813267,28.146253360215052,31.196836597542244,9.526881720430108,205.40860215053763,27,30,34,0_27_30
0,0,4.47213595499958,1,25.798989873223338,3.0233741857062344,39.84857200091575,17.732028388278387,92.82051282051282,152.06410256410257,39,17,35,0_39_17
0,0,4.0,1,35.04163056034262,2.2544613003655725,32.73674841772152,13.948519439421338,54.0253164556962,132.0253164556962,32,13,36,0_32_13
0,0,8.246211251235321,1,64.98275605729685,5.955426077323849,21.53202288667405,16.87078084625323,67.95607235142118,95.33850129198966,21,16,37,0_21_16
0,0,5.656854249492381,1,3.8284271247461903,8.880931748767209,30.907628676470587,18.037092962184875,217.35294117647058,162.64705882352942,30,18,38,0_30_18
0,0,14.422205101855956,1,63.284271247461874,9.60744254480745,13.790767813087406,3.3285435267857144,165.125,141.70559210526315,13,3,39,0_13_3
0,0,8.246211251235321,1,62.0832611206852,5.476516437161146,12.885077468487395,4.008698792016807,43.241176470588236,158.60588235294117,12,3,40,0_12_3
0,0,5.656854249492381,1,36.89949493661167,2.737164835819686,9.12309936350778,20.90451511669024,61.91089108910891,22.059405940594058,9,20,41,0_9_20
0,0,4.0,1,88.72792206135784,1.8821583569207765,42.37488638793841,29.345781650983746,162.03592814371257,67.17964071856288,42,29,42,0_42_29
0,0,16.1245154965971,1,80.84062043356587,8.42398284856856,1.085965360813929,12.545686818229495,126.21292217327459,194.6049926578561,0,12,43,0_0_12
0,0,7.211102550927978,1,11.242640687119286,4.536300805061821,38.09188988095238,40.22439600840336,4.588235294117647,195.66666666666666,37,39,44,0_37_39
1,1,4.47213595499958,1,7.82842712474619,4.087666588713054,37.52647181919643,40.046665736607146,36.4375,94.34375,37,39,45,1_37_39
2,2,4.47213595499958,1,5.82842712474619,4.289321881345248,37.53058035714286,39.99933035714286,44.92,95.08,37,39,46,2_37_39
0,0,4.47213595499958,1,153.6934341759517,3.1881648206197086,8.479124908892128,38.92305940233236,58.587755102040816,85.85918367346939,8,38,47,0_8_38
0,0,10.770329614269007,1,54.556349186104036,7.111912834864451,1.2136212490795288,2.8072389313328423,79.34278350515464,38.28092783505155,1,2,48,0_1_2
1,1,16.1245154965971,3,29.242640687119287,15.833043429759094,1.1772938522061092,2.687010664146868,100.88768898488121,31.771058315334773,1,2,49,1_1_2
2,2,12.165525060596439,1,53.31370849898475,6.414860448256243,1.5239335317460316,2.6165968306182124,113.50584795321637,93.88888888888889,1,2,50,2_1_2
3,3,8.0,1,52.87005768508878,4.936631648003879,1.7272210249042144,2.46406763136289,140.83908045977012,130.31800766283524,1,2,51,3_1_2
4,4,10.0,1,61.941125496954236,8.847110794377578,1.686506126173097,2.272551567387904,175.1587591240876,123.02189781021897,1,2,52,4_1_2
5,5,6.324555320336759,1,4.82842712474619,3.3137084989847607,2.093052455357143,2.1625279017857144,194.875,195.875,1,2,53,5_1_2
0,0,8.48528137423857,1,33.89949493661167,7.020753567126409,40.12363539165666,20.7070406287515,97.2983193277311,22.15546218487395,40,20,54,0_40_20
0,0,8.0,1,68.59797974644661,3.4986453083180202,7.571684337797619,16.103097098214285,26.325,102.44583333333334,7,15,55,0_7_15
0,0,21.540659228538015,3,8.32842712474619,53.91174026916677,27.658979279350937,12.758245008749602,88.12249443207126,118.0890868596882,27,12,56,0_27_12
1,1,6.0,1,54.727922061357845,3.6727138986685843,28.067708333333332,12.478355987917555,138.27860696517413,191.33333333333334,27,12,57,1_27_12
0,0,4.47213595499958,1,72.39696961966995,3.7018124019266345,20.552497001599146,17.189628031716417,190.01865671641792,99.00746268656717,20,17,58,0_20_17
0,0,8.48528137423857,1,61.083261120685194,5.43520424268199,0.7246396299483648,11.008246154259897,43.3222891566265,129.85542168674698,0,10,59,0_0_10
0,0,14.422205101855956,1,31.89949493661167,10.470385210289386,31.174661837040205,19.062319557313945,212.8323353293413,31.29940119760479,31,19,60,0_31_19
