,id,width,npaths,length,fatness,centroid_x_pix,centroid_y_pix,centroid_x,centroid_y,image,img_x,img_y,N,label
0,0,24.331050121192877,5,28.933364619034286,81.63585642736206,107.74216765453006,450.88950042337,6.280578561600339,12.075808592647475,"[[False False False ...  True  True False]
 [False False False ...  True  True  True]
 [False False False ...  True  True False]
 ...
 [ True  True  True ... False False False]
 [False False  True ... False False False]
 [False False False ... False False False]]",6,12,0,0_6_12
0,0,17.88854381999832,3,87.54226146708767,19.41919218798261,86.27882352941177,177.94941176470587,48.22468443627451,15.786590073529412,"[[False False  True ... False False False]
 [False  True  True ... False False False]
 [False  True  True ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",48,15,1,0_48_15
0,0,28.284271247461902,1,201.01219330881977,12.536552925067907,234.22896825396825,153.14444444444445,20.609971271494707,2.8511863425925927,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",20,2,2,0_20_2
0,0,43.68065933568311,13,27.070572628600303,580.92601939958,273.85781508330155,74.08253847132139,21.713171393446096,3.057076722730934,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",21,2,3,0_21_2
0,0,27.784887978899608,1,159.1076477383248,22.582195457437724,276.42443640411915,122.74839966601725,20.719855303135727,4.93034270920308,"[[False False  True ... False False False]
 [False  True  True ... False False False]
 [False  True  True ... False False False]
 ...
 [False False False ...  True False False]
 [False False False ... False False False]
 [False False False ... False False False]]",20,4,4,0_20_4
1,1,18.867962264113206,1,130.78174593052015,12.815244115875325,401.6831742243437,244.5626491646778,21.046049932875896,4.613118101133652,"[[False False  True ... False False False]
 [False  True  True ... False False False]
 [ True  True  True ... False False False]
 ...
 [False False False ...  True  True  True]
 [False False False ...  True  True  True]
 [False False False ...  True  True False]]",20,4,5,1_20_4
0,0,28.635642126552707,1,165.92388155425135,18.906259729551408,369.4619062798852,170.65859101051961,18.9621403809372,1.8055765859101052,"[[False False False ... False False False]
 [False False False ...  True False False]
 [False False False ...  True False False]
 ...
 [False  True  True ... False False False]
 [False  True  True ... False False False]
 [False False  True ... False False False]]",18,1,6,0_18_1
0,0,16.1245154965971,1,132.40916292848965,11.7892143222977,152.32863549007047,95.99743754003843,19.396689154922058,4.000006673072816,"[[False False False ... False False False]
 [False  True  True ... False False False]
 [ True  True  True ... False False False]
 ...
 [False False False ...  True  True  True]
 [False False False ...  True  True False]
 [False False False ...  True False False]]",19,3,7,0_19_3
1,1,18.867962264113206,5,20.25820512419392,115.8542914148416,346.65019173412867,365.47209203238174,19.902734874307626,3.298249760332339,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",19,3,8,1_19_3
0,0,19.697715603592208,3,97.25602235730163,24.25556734505804,140.55489614243322,303.56591776176344,14.36602837537092,4.459463755828741,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ...  True  True False]
 [False False False ...  True  True False]
 [False False False ...  True False False]]",14,4,9,0_14_4
0,0,26.832815729997478,5,44.25820512419393,97.69939806339475,320.0652173913044,152.30064754856613,4.833503170289855,8.853383730342276,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False  True ...  True  True False]
 [False False False ...  True False False]
 [False False False ...  True False False]]",4,8,10,0_4_8
1,1,20.8806130178211,4,76.20763859360005,26.952678732817944,194.47565725413827,236.730282375852,4.506447024099319,8.633514889646218,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",4,8,11,1_4_8
